,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
users,users,user,,,,,,,,,,,,,,,,,,,,,,,,,,
abusers,abuers,abusers,abusors,abusees,abusrs,abuser,abuses,,,,,,,,,,,,,,,,,,,,,
alcoholic drug addict,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unrepentant abuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addict,adddicts,addictio,addicits,addicton,additct,addictt,addict,adddict,addct,coaddict,addicte,addictve,addicts,addic,addicti,ddict,addictin,addicted,addicit,adict,anaddict,,,,,,,
junky,junk,junky,,,,,,,,,,,,,,,,,,,,,,,,,,
drug addict,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addicted,addited,addicated,addictied,adicted,addict,additced,addicked,addidicted,addicited,addicted,addcited,addiced,,,,,,,,,,,,,,,,
druggie,druggies,druggie,drugies,drugie,,,,,,,,,,,,,,,,,,,,,,,,
fiend,fiends,fiend,,,,,,,,,,,,,,,,,,,,,,,,,,
pothead,potheads,pothead,,,,,,,,,,,,,,,,,,,,,,,,,,
junkies,junkies,junkie,,,,,,,,,,,,,,,,,,,,,,,,,,
heroin addict,,,,,,,,,,,,,,,,,,,,,,,,,,,,
intoxicated,intoxicate,intoxicates,intoxicant,,,,,,,,,,,,,,,,,,,,,,,,,
shitfaced,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tipsy,tipsey,tippsy,,,,,,,,,,,,,,,,,,,,,,,,,,
stoned,stonned,,,,,,,,,,,,,,,,,,,,,,,,,,,
inebriated,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buzzed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hammered,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drunken,drunkie,drunken,druken,drunkin,drunked,drunkenly,,,,,,,,,,,,,,,,,,,,,,
habbit,habbits,habit,habbit,,,,,,,,,,,,,,,,,,,,,,,,,
habits,habits,habbits,habit,,,,,,,,,,,,,,,,,,,,,,,,,
addiction,addictions,additction,addction,addicitions,additiction,addictiion,addictiona,addicttion,addicton,addiciton,coaddiction,addicition,additctions,addictionâ,adiction,addicion,addicting,addtiction,adddiction,addiiction,additcion,addcition,adictions,addiction,addictin,âaddiction,addictoin,addication
habitual,habitually,habitual,,,,,,,,,,,,,,,,,,,,,,,,,,
habbits,habbits,habits,habbit,,,,,,,,,,,,,,,,,,,,,,,,,
nasty,nast,nastly,nasy,,,,,,,,,,,,,,,,,,,,,,,,,
filthy,filth,fithy,filfthy,filthy,,,,,,,,,,,,,,,,,,,,,,,,
smelly,smell,smelly,,,,,,,,,,,,,,,,,,,,,,,,,,
grimy,grimey,grimy,,,,,,,,,,,,,,,,,,,,,,,,,,
slimy,slimy,slimey,slimmy,,,,,,,,,,,,,,,,,,,,,,,,,
grubby,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stinky,stink,stinky,,,,,,,,,,,,,,,,,,,,,,,,,,
sweaty,sweat,sweaty,sweatty,,,,,,,,,,,,,,,,,,,,,,,,,
disgusting,disguting,disgustig,distgusting,disqusting,disgustin,digusting,disgustingly,disguisting,disgusting,discusting,,,,,,,,,,,,,,,,,,
unwashed,washed,unwashed,,,,,,,,,,,,,,,,,,,,,,,,,,
unhygienic,unhygienic,unhygenic,hygienic,,,,,,,,,,,,,,,,,,,,,,,,,
social stigma,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stigma attached,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stigma associated,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stigmas,stigma,stigmas,,,,,,,,,,,,,,,,,,,,,,,,,,
stigma surrounding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mental illness,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stigmatized,stigmatise,stigmatised,stigmatized,stigmatize,stigmatizes,,,,,,,,,,,,,,,,,,,,,,,
prejudice,prejudice,prejudiced,prejudices,predudice,prejuidice,predjudices,predjudice,,,,,,,,,,,,,,,,,,,,,
unaddressed addiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biases,biasses,,,,,,,,,,,,,,,,,,,,,,,,,,,
biased,unbiased,biasedly,biased,ubiased,,,,,,,,,,,,,,,,,,,,,,,,
prejudices,prejudice,prejudiced,prejudices,prejuidice,predjudices,predudices,predjudice,,,,,,,,,,,,,,,,,,,,,
cultural bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inherent bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heavily biased,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bigotry,biggotry,bigotry,,,,,,,,,,,,,,,,,,,,,,,,,,
stereotypes,sterotype,steriotypes,sterotyped,stereotype,stereotyped,sterotypes,steretypes,steriotype,steryotype,stereotypes,,,,,,,,,,,,,,,,,,
stereotypical,sterotypically,stereotypic,stereotypically,stereotypical,sterotypical,steriotypical,streotypical,,,,,,,,,,,,,,,,,,,,,
stereotyping,sterotyping,stereotyping,,,,,,,,,,,,,,,,,,,,,,,,,,
sterotype,steriotypes,sterotype,sterotyped,stereotype,stereotyped,sterotypes,steriotype,steryotype,stereotypes,,,,,,,,,,,,,,,,,,,
negative stereotypes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stereotypically,sterotypically,stereotypically,stereotypical,sterotypical,steriotypical,streotypical,,,,,,,,,,,,,,,,,,,,,,
embarrassment,embarrasment,embarassment,embrassment,embarassement,embarrassement,embarresment,embaressment,embarressment,embarrisment,embarrasement,embarasment,embarrassment,,,,,,,,,,,,,,,,
embarassment,embarrasment,embarassment,embrassment,embarassement,embarrassement,embaressment,embarressment,embarrasement,embarasment,embarrassment,,,,,,,,,,,,,,,,,,
disgust,disguist,discust,digust,disgusts,disgust,disgusted,,,,,,,,,,,,,,,,,,,,,,
worthlessness,worthlesness,,,,,,,,,,,,,,,,,,,,,,,,,,,
humiliation,humilating,humiliation,humiation,humiliating,humliation,humilation,humiliations,humilliation,,,,,,,,,,,,,,,,,,,,
disappointment,dissappointment,dissapointments,disappointment,dissapointment,disappoinment,disapointments,disappointments,disapointment,dissapoinment,disappointement,diappointment,dissappointments,,,,,,,,,,,,,,,,
blaming,blamming,claming,blambing,blamin,blaiming,blaming,balming,blameing,,,,,,,,,,,,,,,,,,,,
blamed,blaimed,blammed,blamed,blame,,,,,,,,,,,,,,,,,,,,,,,,
blames,blames,blame,,,,,,,,,,,,,,,,,,,,,,,,,,
fault,falt,fault,faults,,,,,,,,,,,,,,,,,,,,,,,,,
punish,punishes,punish,punished,punnish,,,,,,,,,,,,,,,,,,,,,,,,
berate,berate,berates,berrate,berrated,berated,,,,,,,,,,,,,,,,,,,,,,,
balme,,,,,,,,,,,,,,,,,,,,,,,,,,,,
