similar_word,stem_word
addiction,addict
alcoholic,addict
addicts,addict
addicted,addict
adict,addict
alcholic,addict
drug_addict,addict
recovering_addict,addict
alocholic,addict
alchoholic,addict
users,user
abusers,abuser
abusee,abuser
abusive,abuser
alcoholic_drug_addict,abuser
unrepentant_abuser,abuser
addict,junkie
junky,junkie
drug_addict,junkie
addicted,junkie
druggie,junkie
fiend,junkie
pothead,junkie
junkies,junkie
heroin_addict,junkie
alcoholic_drug_addict,alcoholic
drug_addict,alcoholic
addict,alcoholic
intoxicated,drunk
shitfaced,drunk
tipsy,drunk
stoned,drunk
inebriated,drunk
buzzed,drunk
hammered,drunk
drunken,drunk
habbit,habit
habits,habit
addiction,habit
habitual,habit
habbits,habit
nasty,habit
filthy,dirty
smelly,dirty
grimy,dirty
slimy,dirty
grubby,dirty
stinky,dirty
sweaty,dirty
disgusting,dirty
unwashed,dirty
unhygienic,dirty
social_stigma,stigma
stigma_attached,stigma
stigma_associated,stigma
stigmas,stigma
stigma_surrounding,stigma
mental_illness,stigma
stigmatized,stigma
prejudice,stigma
unaddressed_addiction,stigma
biases,bias
biased,bias
prejudices,bias
cultural_bias,bias
prejudice,bias
inherent_bias,bias
heavily_biased,bias
bigotry,bias
stereotypes,stereotype
stereotypical,stereotype
stereotyping,stereotype
sterotype,stereotype
negative_stereotypes,stereotype
stereotypically,stereotype
embarrassment,shame
embarassment,shame
disgust,shame
worthlessness,shame
humiliation,shame
disappointment,shame
blaming,blame
blamed,blame
blames,blame
fault,blame
punish,blame
berate,blame
balme,blame
